name,address-street,address-zipcode,address-place,google_search_link,category,phone,adress,website,email,handler_type,company_purpose,management,registration_number,profit_year,profit_amount,company_url
Sanitätshaus Otto Möller GmbH,Alleestr. 77,44793.0,Bochum,https://www.google.de/search?q=Sanit%C3%A4tshaus+Otto+M%C3%B6ller+GmbH+Alleestr.+77+44793+Bochum,Inkontinenzhilfen%2C+ableitend,+49 234 961640,"Bergstraße 25, 44791 Bochum",orthopaedietechnik-moeller.de,kontakt@sanitaetshaus-moeller.de,Sanitäts- und Medizintechnik,"Sanitätshaus Otto Möller GmbH ist ein Anbieter von medizinischen Produkten und Dienstleistungen, wie orthopädischer Technik. Das Unternehmen ist zertifiziert nach DIN EN ISO 13485 und QM für Medizinprodukte. Es bietet eine breite Palette an Produkten und Dienstleistungen, darunter auch eine neue Badekollektion und ein neues Ladengeschäft in der Innenstadt.",René Mertens,HRB 5053 Amtsgericht Bochum,,,https://www.companyhouse.de/Sanitaetshaus-Otto-Moeller-GmbH-Bochum
Sanitätshaus Möller GmbH,Hellweg 2,44787.0,Bochum,https://www.google.de/search?q=Sanit%C3%A4tshaus+M%C3%B6ller+GmbH+Hellweg+2+44787+Bochum,Inkontinenzhilfen%2C+ableitend,,"Hasenackerstraße 13-17, 68163 Mannheim",,,Großhandel,"Betrieb eines Fachgeschäfts für Orthopädie mit Groß- und Einzelhandel, aller dazugehörigen Artikel und Unterhaltung von hiermit im Zusammenhang stehenden Werkstätten.","Olaf Weber, Christian Thomas Puritscher, Ludger Frentrop",HRB 6293 Amtsgericht Mannheim,,,https://www.companyhouse.de/Sanitaetshaus-Fuchs-Moeller-GmbH-Mannheim
Das Sanitätshaus Stefan Ertz,Josefstr. 20,51143.0,Köln,https://www.google.de/search?q=Das+Sanit%C3%A4tshaus+Stefan+Ertz+Josefstr.+20+51143+K%C3%B6ln,Inkontinenzhilfen%2C+ableitend,,,,,,,,,,,
Hi-Be-Co Rehatechnik GmbH,Fischenicher Str. 15,50321.0,Brühl,https://www.google.de/search?q=Hi-Be-Co+Rehatechnik+GmbH+Fischenicher+Str.+15+50321+Br%C3%BChl,Inkontinenzhilfen%2C+ableitend,+49 2232 211212,"Fischenicherstr. 15, 50321 Brühl",hibeco-rehatechnik.de,o.koeppe@hibeco.de,Rehatechnik und Hilfsmittelversorgungen,"Hi-Be-Co Rehatechnik GmbH ist ein Anbieter von Rehatechnik, sich durch eine breite Palette an Produkten und Dienstleistungen auszeichnet, über den Standard hinausgehen. Das Unternehmen bietet Lösungen in den Bereichen Kinderreha, Individualreha und Sonderbau an, wobei der Fokus auf maßgefertigten Sitzschalen und Positionierungssystemen liegt.",Reiner Manfred Ebelhäuser,HRB 73409 Amtsgericht Köln,,,https://www.companyhouse.de/Hi-Be-Co-Rehatechnik-GmbH-Bruehl
Medishop GmbH,Nordring 36,45894.0,Gelsenkirchen,https://www.google.de/search?q=Medishop+GmbH+Nordring+36+45894+Gelsenkirchen,Inkontinenzhilfen%2C+ableitend,+49 209 3806860,"Nordring 36, 45894 Gelsenkirchen",medishop-gmbh.eu,shop@medishop-gmbh.eu,Reha- und Medizintechnik,An- und Verkauf von Sanitätsartikeln und Dienstleistungen für Senioren.,"Jörg Malitowski, Volker Fritz Weyrich, NameVornameGeburtsdatumBeruf Wohnort",HRB 9418 Amtsgericht Gelsenkirchen,,,https://www.companyhouse.de/Medishop-GmbH-Gelsenkirchen
Convita Medizintechnik GmbH,Girardetstr. 6,45131.0,Essen,https://www.google.de/search?q=Convita+Medizintechnik+GmbH+Girardetstr.+6+45131+Essen,Inkontinenzhilfen%2C+ableitend,+49 2041 107172,"Girardetstr. 6, 45131 Essen",convita-medtec.de,info@convita-medtec.de,Medizintechnik und Elektrostimulationstherapie,"Convita Medizintechnik GmbH ist ein Unternehmen, sich auf die Entwicklung und den Vertrieb von medizinischen Geräten und Technologien spezialisiert hat. Die wichtigsten Merkmale des Unternehmens sind die Fokussierung auf die Behandlung von Inkontinenz und andere medizinische Bedürfnisse. Der Hauptzweck der Geschäftstätigkeit von Convita Medizintechnik GmbH besteht darin, moderne und effektive Lösungen für Patienten mit medizinischen Problemen bereitzustellen.",Jadranka Pahnke,HRB 30568 Amtsgericht Essen,,,https://www.companyhouse.de/Convita-Medizintechnik-GmbH-Essen
Sanitätshaus Kessels GmbH & Co. KG,Otto-Hahn-Str. 17,47608.0,Geldern,https://www.google.de/search?q=Sanit%C3%A4tshaus+Kessels+GmbH+%26+Co.+KG+Otto-Hahn-Str.+17+47608+Geldern,Inkontinenzhilfen%2C+ableitend,+49 2831 97855100,"Otto-Hahn-Straße 17, 47608 Geldern",huka-deutschland.de,service@fk-mobilitysolutions.de,Sanitätshaus Kessels GmbH & Co. KG ist im Hauptgeschäftsfeld der Rehatechnik und Rehabilitationssortimente tätig,"Sanitätshaus Kessels GmbH & Co. KG ist ein Unternehmen, sich auf Rehatechnik und Rehabilitationsprodukte spezialisiert hat. Es ist bekannt für seine innovativen Produkte in überdurchschnittlicher Qualität und schneller Lieferzeit, Leben seiner Kunden verbessern.",Fabian Kessels,HRA 3916 Amtsgericht Kleve,,,https://www.companyhouse.de/Sanitaetshaus-Kessels-GmbH-Co-KG-Geldern
CORONA MEDICAL Vertriebs GmbH,Brühler Str. 99,50389.0,Wesseling,https://www.google.de/search?q=CORONA+MEDICAL+Vertriebs+GmbH+Br%C3%BChler+Str.+99+50389+Wesseling,Inkontinenzhilfen%2C+ableitend,+49 2236 890777,"Brühlerstr. 99, 50389 Wesseling",corona-gmbh.de,info@corona-gmbh.de,"Medizinische Hilfsmittel, insbesondere Geräte zur Blutgerinnungsbestimmung, Blutzuckermessgeräte, Inkontinenzprodukte und Stomaprodukte","Import, Export und Vertrieb von Medizintechnik, medizinischem Sachbedarf, pharmazeutischen und technischen Produkten. Soweit Import, Export und Vertrieb pharmazeutischer Produkte nur mit einer Erlaubnis des Bundesgesundheitsamtes gemäß § 3 Betäubungsmittelgesetz gestattet sind, sind diese Geschäfte nicht Gegenstand des Unternehmens. Die Gesellschaft kann gleichartige oder ähnliche Unternehmen erwerben, sich an solchen beteiligen und deren Vertretung übernehmen.",Stephan Seitz,Gesellschaft mit beschränkter Haftung,,,https://www.companyhouse.de/CORONA-Medical-Vertriebs-GmbH-Wesseling
ServiG GmbH,Forellstr. 44,44629.0,Herne,https://www.google.de/search?q=ServiG+GmbH+Forellstr.+44+44629+Herne,Inkontinenzhilfen%2C+ableitend,,,,,,,,,,,
Hubertus-Apotheke Silke Wilden,Flach-Fengler-Str. 88,50389.0,Wesseling,https://www.google.de/search?q=Hubertus-Apotheke+Silke+Wilden+Flach-Fengler-Str.+88+50389+Wesseling,Inkontinenzhilfen%2C+ableitend,,,,,,,,,,,
Sanitätshaus Tingelhoff GmbH,Werner Hellweg 477,44894.0,Bochum,https://www.google.de/search?q=Sanit%C3%A4tshaus+Tingelhoff+GmbH+Werner+Hellweg+477+44894+Bochum,Inkontinenzhilfen%2C+ableitend,+49 231 5622410,"Körner Hellweg 100, 44143 Dortmund",jobs-wanted.de,blog@tingelhoff.de,Textilien,"Herstellung und Vertrieb von orthopädischen Erzeugnissen, Hilfsmitteln, Textilwaren, Orthopädie-Technik und Orthopädie-Schuhtechnik aller Art, sowie Einzelhandel mit augenoptischen Sehhilfen und deren Einpassung, Anpassung und Reparatur.","Kira Finja Tingelhoff, Nils Philipp Tingelhoff, Pia Frida Zahn",Gesellschaft mit beschränkter Haftung,,,https://www.companyhouse.de/Sanitaetshaus-Tingelhoff-GmbH-Dortmund
Stom-In-Service Berner GmbH,Annenstr. 104,58453.0,Witten,https://www.google.de/search?q=Stom-In-Service+Berner+GmbH+Annenstr.+104+58453+Witten,Inkontinenzhilfen%2C+ableitend,+49 2302 963940,"Annenstr. 104, 58453 Witten",,,Großhandel,Sanitätshaus,Thomas Berner,Gesellschaft mit beschränkter Haftung,,,https://www.companyhouse.de/Stom-In-Service-Berner-GmbH-Witten
Reha-Activ e.K. Standort Overath,Hauptstr. 42,51491.0,Overath,https://www.google.de/search?q=Reha-Activ+e.K.+Standort+Overath+Hauptstr.+42+51491+Overath,Inkontinenzhilfen%2C+ableitend,,,,,,,,,,,
rahm GmbH,Camp-Spich-Str. 27 - 35,53842.0,Troisdorf,https://www.google.de/search?q=rahm+GmbH+Camp-Spich-Str.+27+-+35+53842+Troisdorf,Inkontinenzhilfen%2C+ableitend,+49 2241 9080,"Iltisweg 1-3, 53842 Troisdorf",,info@rahm.de,Zentrum für Gesundheit & Mobilität,"GmbH ist ein Unternehmen, sich auf die Gesundheit und Mobilität von Menschen konzentriert. Die wichtigsten Merkmale des Unternehmens sind die Entwicklung und Vermarktung von Assistive Systemen und Sonderlösungen für Menschen mit Behinderungen oder chronischen Krankheiten. Der Zweck der Geschäftstätigkeit von rahm GmbH ist es, Menschen mit Behinderungen oder chronischen Krankheiten zu unterstützen und zu helfen, ihre Mobilität und Unabhängigkeit zu erhalten oder zu verbessern.","Marco Hammerstein, Meike Rahm, Martin Rahm",Gesellschaft mit beschränkter Haftung,,,https://www.companyhouse.de/rahm-GmbH-Troisdorf
OMNIA PRO MEDICO GmbH,Stettiner Str. 13,47665.0,Sonsbeck,https://www.google.de/search?q=OMNIA+PRO+MEDICO+GmbH+Stettiner+Str.+13+47665+Sonsbeck,Inkontinenzhilfen%2C+ableitend,,"Meenheit 55, 28816 Stuhr",,,Medizintechnik-Handel,"OPM Omnia pro medico, Stuhr GmbH ist ein Unternehmen, Medizinprodukte direkt vertreibt. Es bietet eine breite Palette an Produkten, darunter Laborartikel, Anästhesie- und Beatmungsgeräte, OP- und Praxisausstattung, Arzttaschen, Diagnose- und Therapiegeräte sowie Zubehör. Das Unternehmen zeichnet sich durch eine starke Fokussierung auf Qualität und Innovation aus.",Roman Fischer,HRB 111187 Amtsgericht Walsrode,,,https://www.companyhouse.de/OPM-Omnia-pro-medico-Stuhr-GmbH-Stuhr
Sanitätshaus Emil Kraft & Sohn GmbH & Co. KG,Beurhausstr. 40,44137.0,Dortmund,https://www.google.de/search?q=Sanit%C3%A4tshaus+Emil+Kraft+%26+Sohn+GmbH+%26+Co.+KG+Beurhausstr.+40+44137+Dortmund,Inkontinenzhilfen%2C+ableitend,,,,,,,,,,,
REHA-Shop Dortmund GmbH,Hohe Str. 18,44139.0,Dortmund,https://www.google.de/search?q=REHA-Shop+Dortmund+GmbH+Hohe+Str.+18+44139+Dortmund,Inkontinenzhilfen%2C+ableitend,,"Amalienstraße 18, 44139 Dortmund",,,Management & Unternehmensberatung,Betrieb eines Unternehmens für die Versorgung mit medizinisch-technischen Hilfsmitteln und Geräten für die häusliche Kranken- und Altenpflege in Pflegeeinrichtungen und Krankenhäusern; ferner die Lieferung von Pflegematerial.,"Sergei Fuchs, Mark Weinschenker",HRB 34648 Amtsgericht Dortmund,,,https://www.companyhouse.de/REHA-Shop-Dortmund-GmbH-Dortmund
Sanitätshaus Richts+Chedor GmbH & Co. KG,Saarlandstr. 84 - 86,44139.0,Dortmund,https://www.google.de/search?q=Sanit%C3%A4tshaus+Richts%2BChedor+GmbH+%26+Co.+KG+Saarlandstr.+84+-+86+44139+Dortmund,Inkontinenzhilfen%2C+ableitend,,,,,,,,,,,
Reha Sanitätshaus MA GmbH,Minister-Stein-Allee 2,44339.0,Dortmund,https://www.google.de/search?q=Reha+Sanit%C3%A4tshaus+MA+GmbH+Minister-Stein-Allee+2+44339+Dortmund,Inkontinenzhilfen%2C+ableitend,,"Minister-Stein-Allee 2, 44339 Dortmund",,,Herstellung von sonstigen Waren,Anfertigung und Verkauf von Hilfsmitteln und Orthopädietechnik sowie Dienstleistungen im Rahmen von Reha-Maßnahmen und Sanitätsmaßnahmen.,"Christopher Thiele, Mürsel Agca",HRB 31506 Amtsgericht Dortmund,,,https://www.companyhouse.de/Reha-Sanitaetshaus-MA-GmbH-Dortmund
Lohbach-Apotheke Jürgen Rosendahl,Benninghofer Str. 163,44269.0,Dortmund,https://www.google.de/search?q=Lohbach-Apotheke+J%C3%BCrgen+Rosendahl+Benninghofer+Str.+163+44269+Dortmund,Inkontinenzhilfen%2C+ableitend,,"Benninghoferstr. 163, 44269 Dortmund",,,Einzelhandel,,Gabriele Mayer,,,,https://www.companyhouse.de/Lohbach-Apotheke-Juergen-Rosendahl-e-K-Dortmund
Amberg Sanitätshaus GmbH,Werner Str. 16,44388.0,Dortmund,https://www.google.de/search?q=Amberg+Sanit%C3%A4tshaus+GmbH+Werner+Str.+16+44388+Dortmund,Inkontinenzhilfen%2C+ableitend,,,,,,,,,,,
B+P Seniorenservice Barbara Feigl,Dortmunder Str. 167,44577.0,Castrop-Rauxel,https://www.google.de/search?q=B%2BP+Seniorenservice+Barbara+Feigl+Dortmunder+Str.+167+44577+Castrop-Rauxel,Inkontinenzhilfen%2C+ableitend,,,,,,,,,,,
Schmicking Reha-Technik GmbH,Schäferkampstr. 8,59439.0,Holzwickede,https://www.google.de/search?q=Schmicking+Reha-Technik+GmbH+Sch%C3%A4ferkampstr.+8+59439+Holzwickede,Inkontinenzhilfen%2C+ableitend,+49 2301 912570,"Schäferkampstraße 8, 59439 Holzwickede",,info@schmicking.de,Herstellung und Vertrieb von Rollstühlen und Handbikes,"Schmicking Rehatechnik GmbH entwickelt und produziert Rollstühle und Handbikes für Menschen mit besonderen Bedürfnissen. Das Unternehmen zeichnet sich durch seine Fähigkeit aus, individuelle Lösungen für Kunden zu erstellen, auf ihre spezifischen Anforderungen abgestimmt sind. Der Zweck der Geschäftstätigkeit von Schmicking Rehatechnik GmbH ist es, Menschen mit Behinderungen oder eingeschränkter Mobilität zu unterstützen und ihnen die Möglichkeit zu geben, ein selbstbestimmtes Leben zu führen.","Paul Hovestadt, Maximilian Maria Jesper",Gesellschaft mit beschränkter Haftung,,,https://www.companyhouse.de/Schmicking-Rehatechnik-GmbH-Holzwickede
Rollstuhl Kaiser GmbH,Hans-Böckler-Str. 6,58455.0,Witten,https://www.google.de/search?q=Rollstuhl+Kaiser+GmbH+Hans-B%C3%B6ckler-Str.+6+58455+Witten,Inkontinenzhilfen%2C+ableitend,+49 2302 580010,"Hans-Böckler-Str. 2-6, 58455 Witten",,,Großhandel,Sanitätshaus,Jutta Bürger Kaiser,HRB 8656 Amtsgericht Bochum,,,https://www.companyhouse.de/Rollstuhl-Kaiser-GmbH-Witten
Phadimed HomeCare GmbH & Co. KG,Industriestr. 40,44628.0,Herne,https://www.google.de/search?q=Phadimed+HomeCare+GmbH+%26+Co.+KG+Industriestr.+40+44628+Herne,Inkontinenzhilfen%2C+ableitend,,"Industriestraße 40, 44628 Herne",,,"Gesundheit, Wellness & Fitness","Versorgung von Patienten, insbesondere von Stoma-Patienten","Hubert Rimpl, Julia Matthes, Thomas Haslinger",HRA 6262 Amtsgericht Bochum,,,https://www.companyhouse.de/PHADIMED-HomeCare-GmbH-Co-KG-Herne
Amberg Sanitätshaus GmbH Josef Carree,Gudrunstr. 56,44791.0,Bochum,https://www.google.de/search?q=Amberg+Sanit%C3%A4tshaus+GmbH+Josef+Carree+Gudrunstr.+56+44791+Bochum,Inkontinenzhilfen%2C+ableitend,,,,,,,,,,,
AKP-Plus Dienstleistungs GmbH,Hemsack 15 b,59174.0,Kamen,https://www.google.de/search?q=AKP-Plus+Dienstleistungs+GmbH+Hemsack+15+b+59174+Kamen,Inkontinenzhilfen%2C+ableitend,+49 2307 926790,"Hemsack 15b, 59174 Kamen",,,Großhandel,Medizintechnikvertrieb,Frank Scheipers,HRB 6119 Amtsgericht Hamm,,,https://www.companyhouse.de/AKP-Plus-Dienstleistungs-GmbH-Kamen
Amberg Sanitätshaus und Orthopädietechnik GmbH,Bahnhofstr. 7,44623.0,Herne,https://www.google.de/search?q=Amberg+Sanit%C3%A4tshaus+und+Orthop%C3%A4dietechnik+GmbH+Bahnhofstr.+7+44623+Herne,Inkontinenzhilfen%2C+ableitend,,,,,,,,,,,
ORTEC Orthopädietechnik AG,Emster Str. 1,58093.0,Hagen,https://www.google.de/search?q=ORTEC+Orthop%C3%A4dietechnik+AG+Emster+Str.+1+58093+Hagen,Inkontinenzhilfen%2C+ableitend,,"Bergischer Ring 31, 58095 Hagen",,,"Herstellung von Datenverarbeitungsgeräten, elektronischen und optischen Erzeugnissen","Entwicklung, Herstellung und Vertrieb von orthopädietechnischen Prodkukten und Erbringung der hiermit in Zusammenhang stehenden Service- und Dienstleistungen.",Robin Burscheid,HRB 12498 Amtsgericht Hagen,,,https://www.companyhouse.de/ORTEC-Orthopaedietechnik-AG-Hagen
SIEmed GmbH,Eilper Str. 82,58091.0,Hagen,https://www.google.de/search?q=SIEmed+GmbH+Eilper+Str.+82+58091+Hagen,Inkontinenzhilfen%2C+ableitend,+49 2331 38600,"Eilperstr. 82, 58091 Hagen",siemed.de,shop@siemed.de,Medizinische Pflegehilfsmittel und Dienstleistungen,Sanitätshaus,,Gesellschaft mit beschränkter Haftung,,,https://www.companyhouse.de/Siemed-GmbH-Hagen
Stoma-Center Südwestfalen GmbH,Rotehausstr. 36,58642.0,Iserlohn,https://www.google.de/search?q=Stoma-Center+S%C3%BCdwestfalen+GmbH+Rotehausstr.+36+58642+Iserlohn,Inkontinenzhilfen%2C+ableitend,,"Rotehausstr. 36, 58642 Iserlohn",,,Großhandel,"Vertrieb von medizin-technischen Produkten, insbesondere Stoma-, Inkontinenzartikel sowie Artikel für enterale und parenterale Ernährung, Wundversorgung und Beatmungstechnik.",Horst Uwe Noeh,HRB 2343 Amtsgericht Iserlohn,,,https://www.companyhouse.de/SCS-Stoma-Center-Suedwestfalen-GmbH-Iserlohn
Pharmdisan GmbH & Co. KG,Lucia-Grewe-Str. 13,45659.0,Recklinghausen,https://www.google.de/search?q=Pharmdisan+GmbH+%26+Co.+KG+Lucia-Grewe-Str.+13+45659+Recklinghausen,Inkontinenzhilfen%2C+ableitend,+49 2361 374282,"Lucia-Grewe-Straße 13, 45659 Recklinghausen",pharmdisan.de,info@pharmdisan.de,Medizinische Versorgung und Wundversorgung,"Pharmdisan GmbH & Co. KG ist ein Unternehmen, sich auf die Bereitstellung von medizinischen Produkten und Dienstleistungen spezialisiert hat. Die wichtigsten Merkmale des Unternehmens sind die Patientenorientierung, Qualitätsstandards und Verfügbarkeit von medizinischen Produkten und Dienstleistungen rund um die Uhr. Der Hauptzweck der Geschäftstätigkeit von Pharmdisan GmbH & Co. KG besteht darin, Patienten und Angehörigen medizinische Unterstützung und Beratung zu bieten, um ihre Gesundheit und Lebensqualität zu verbessern.",Tina Juraschek,HRA 3150 Amtsgericht Recklinghausen,,,https://www.companyhouse.de/Pharmdisan-GmbH-Co-KG-Recklinghausen
Amberg GmbH,Obermarkt 14,45525.0,Hattingen,https://www.google.de/search?q=Amberg+GmbH+Obermarkt+14+45525+Hattingen,Inkontinenzhilfen%2C+ableitend,,"Strehlhofweg 14, 36124 Eichenzell",,,Finanzdienstleistungen,"Beteiligung als persönlich haftende Gesellschafterin in einer Kommanditgesellschaft mit dem Unternehmensgegenstand Verwaltung von Beteiligungen und mit dem Unternehmensgegenstand der Grundstücksverwaltung und -verpachtung sowie Übernahme der Geschäftsführung und Vertretung in solchen Kommanditgesellschaften. Die Gesellschaft ist berechtigt, den Geschäftsbetrieb auch auf verwandte Zweige auszudehnen und alle Rechtsgeschäfte zu tätigen, zur Erreichung ihres Unternehmensgegenstandes zweckdienlich oder förderlich sind.",Florian Amberg,HRB 1778 Amtsgericht Fulda,,,https://www.companyhouse.de/Amberg-GmbH-Eichenzell
Th. Lückenotto GmbH,Dorstener Str. 151,45657.0,Recklinghausen,https://www.google.de/search?q=Th.+L%C3%BCckenotto+GmbH+Dorstener+Str.+151+45657+Recklinghausen,Inkontinenzhilfen%2C+ableitend,,"Caspersgäßchen 8-10, 45657 Recklinghausen",,,Herstellung von sonstigen Waren,Betrieb eines Sanitätshauses und Orthopädie-Technik.,"Sascha Haas, Christian Thomas Puritscher, Olaf Weber",HRB 1755 Amtsgericht Recklinghausen,,,https://www.companyhouse.de/Th-Lueckenotto-GmbH-Sanitaetshaus-und-Orthopaedie-Technik-Recklinghausen
Medi-Cirkel GmbH,An der Vestischen 20,45701.0,Herten,https://www.google.de/search?q=Medi-Cirkel+GmbH+An+der+Vestischen+20+45701+Herten,Inkontinenzhilfen%2C+ableitend,+49 2366 1819970,"An der Vestischen 20, 45701 Herten",,,Großhandel,"Handel mit medizinischen und medizintechnischen Bedarfsartikeln und Geräten aller Art sowie Nährund Stärkungsmitteln, ferner alle damit im Zusammenhang stehenden Tätigkeiten und Dienstleistungen.",Silke Jockel,HRB 4167 Amtsgericht Recklinghausen,,,https://www.companyhouse.de/MEDI-CIRKEL-GmbH-Herten
KaMed Hubertus Klaus Twyhues,Gildenweg 42,59348.0,Lüdinghausen,https://www.google.de/search?q=KaMed+Hubertus+Klaus+Twyhues+Gildenweg+42+59348+L%C3%BCdinghausen,Inkontinenzhilfen%2C+ableitend,,,,,,,,,,,
