id,ik,locationName,address,coordinates,distance,email,website,furtherProducts,phone,adress,handler_type,company_purpose,management,registration_number,profit_year,profit_amount,company_url
13749,330931153,Sanitätshaus Lange GmbH,"{'street': 'Fröschau 34 - 38', 'streetAddition': '', 'zip': '92237', 'city': 'Sulzbach-Rosenberg', 'phone': '', 'title': '', 'active': False}","{'lat': 49.499955947217, 'lon': 11.752946951847}",0,,,[],,,,,,,,,
14362,330841187,Sanitätshaus Langenau GmbH,"{'street': 'Hindenburgstr. 40', 'streetAddition': '', 'zip': '89129', 'city': 'Langenau', 'phone': '', 'title': '', 'active': False}","{'lat': 48.496750952689, 'lon': 10.119126955871}",0,,,[],,"Hindenburgstraße 40, 89129 Langenau",Großhandel,"Betrieb eines Sanitätshauses, Verkauf von Heil- und Hilfsmitteln, sowie Dienstleistungen, daraus entstehen.",Sabine Schindler,Gesellschaft mit beschränkter Haftung,,,https://www.companyhouse.de/Sanitaetshaus-Langenau-GmbH-Langenau
61552,331404625,Sanitätshaus Lang GmbH   Orthopädietechnik,"{'street': 'Buchholzer Str. 3', 'streetAddition': '', 'zip': '09456', 'city': 'Annaberg-Buchholz', 'phone': '', 'title': '', 'active': False}","{'lat': 50.579458984769, 'lon': 13.00237496314}",0,,,[],,,,,,,,,
8945,330825791,Sanitätshaus Langmann Matthias Schweigert e.K.,"{'street': 'Rheinstr. 25', 'streetAddition': '', 'zip': '76185', 'city': 'Karlsruhe', 'phone': '', 'title': '', 'active': False}","{'lat': 49.011262967099, 'lon': 8.3628099928054}",0,,,[],,,,,,,,,
10186,330312837,Sanitätshaus Lappe GmbH & Co. KG,"{'street': 'Lange Str. 43', 'streetAddition': '', 'zip': '29378', 'city': 'Wittingen', 'phone': '', 'title': '', 'active': False}","{'lat': 52.72788296011, 'lon': 10.74085392845}",0,,,[],+49 581 979900,"Lüneburgerstr. 35, 29525 Uelzen",Herstellung von sonstigen Waren,Sanitätshaus,"Johanna Lappe, Christoph Lappe",HRA 200380 Amtsgericht Lüneburg,,,https://www.companyhouse.de/Sanitaetshaus-Lappe-GmbH-Co-KG-Uelzen
15793,331600667,Sanitätshaus Lattmann Lattmann Apotheken OHG Juliane Lattmann-Behr Ulrike Lattmann-Sieber,"{'street': 'August-Bebel-Str. 7', 'streetAddition': '', 'zip': '99444', 'city': 'Blankenhain', 'phone': '', 'title': '', 'active': False}","{'lat': 50.858964947939, 'lon': 11.343016941615}",0,,,[],,,,,,,,,
9272,330602645,Sanitätshaus Laumann e.K.   Orthopädietechnik,"{'street': 'Frankfurter Str. 10', 'streetAddition': '', 'zip': '65830', 'city': 'Kriftel', 'phone': '', 'title': '', 'active': False}","{'lat': 50.083174449905, 'lon': 8.4686471639607}",0,,,[],,,,,,,,,
12451,331200060,Sanitätshaus Laussmann Inh. Isabelle Strohwald  Orthopädie / Bandagen,"{'street': 'Peitzer Str. 7', 'streetAddition': '', 'zip': '15232', 'city': 'Frankfurt', 'phone': '', 'title': '', 'active': False}","{'lat': 52.337748982394, 'lon': 14.540374991527}",0,,,[],,,,,,,,,
8752,330646556,Sanitätshaus Lay Mario Lay  Orthopädie-Technik,"{'street': 'Eibinger Str. 9', 'streetAddition': '', 'zip': '65385', 'city': 'Rüdesheim am Rhein', 'phone': '', 'title': '', 'active': False}","{'lat': 49.982858995454, 'lon': 7.9265259274193}",0,,,[],,,,,,,,,
8563,330324170,Sanitätshaus Lehrte GmbH,"{'street': 'Burgdorfer Str. 32', 'streetAddition': '', 'zip': '31275', 'city': 'Lehrte', 'phone': '', 'title': '', 'active': False}","{'lat': 52.379586983747, 'lon': 9.9766739147455}",0,,,[],+49 5132 504740,"Benningsenstraße 32, 31275 Lehrte",Pharmazie,Sanitätshaus,Hans-Herbert Wander,Gesellschaft mit beschränkter Haftung,,,https://www.companyhouse.de/Sanitaetshaus-Lehrte-GmbH-Lehrte
12195,330813582,Sanitätshaus Leicht GmbH,"{'street': 'Johann-Gottfried-Pahl-Str. 3', 'streetAddition': '', 'zip': '73430', 'city': 'Aalen', 'phone': '', 'title': '', 'active': False}","{'lat': 48.840313947165, 'lon': 10.095745964982}",0,info@sh-leicht.de,sh-leicht.de,[],+49 7361 960101,"Johann-Gottfried-Pahl-Str. 3, 73430 Aalen",Sanitätsprodukte und Dienstleistungen,"Sanitätshaus Leicht GmbH ist ein Unternehmen, sich auf die Bereitstellung von Produkten und Dienstleistungen in den Bereichen Gesundheitsförderung, Gesundheitserhaltung und Kompensation von Handicaps konzentriert. Es bietet individuell angefertigte orthopädische Produkte und Rehabilitationslösungen, um die Lebensqualität seiner Kunden zu verbessern.",Sigrid Weißenburger,HRB 501253 Amtsgericht Ulm,,,https://www.companyhouse.de/Sanitaetshaus-Leicht-GmbH-Aalen
11369,331532323,Sanitätshaus Lobach GmbH & Co. KG,"{'street': 'Breite Str. 5', 'streetAddition': '', 'zip': '06493', 'city': 'Ballenstedt', 'phone': '', 'title': '', 'active': False}","{'lat': 51.720894953382, 'lon': 11.239155974253}",0,,,[],+49 3946 701113,"Ballstraße 38, 06484 Quedlinburg",Großhandel,Sanitätshaus,Bernd Lobach,,,,https://www.companyhouse.de/Sanitaetshaus-Lobach-GmbH-CoKG-Quedlinburg
11016,330832379,Sanitätshaus Lopez Jose Lopez,"{'street': 'Hauptstr. 17', 'streetAddition': '', 'zip': '79650', 'city': 'Schopfheim', 'phone': '', 'title': '', 'active': False}","{'lat': 47.649371989548, 'lon': 7.8195169938075}",0,,,[],,,,,,,,,
12182,330814516,Sanitätshaus-Lorch Ihr aktives Gesundheitshaus Inh. Rolf Fürlinger,"{'street': 'Aug.-W.-Pfäffle-Str. 7', 'streetAddition': '', 'zip': '73547', 'city': 'Lorch', 'phone': '', 'title': '', 'active': False}","{'lat': 48.797492956525, 'lon': 9.6908459813507}",0,,,[],,,,,,,,,
10078,330720820,Sanitätshaus Louis Fauth GmbH & Co KG Inh. Joachim Engelke,"{'street': 'Dauner Str. 4', 'streetAddition': '', 'zip': '54634', 'city': 'Bitburg', 'phone': '', 'title': '', 'active': False}","{'lat': 49.975735979513, 'lon': 6.5257619741456}",0,,,[],,,,,,,,,
11307,330812273,Sanitätshaus Maier GmbH,"{'street': 'Im Biegel 7', 'streetAddition': '', 'zip': '71522', 'city': 'Backnang', 'phone': '', 'title': '', 'active': False}","{'lat': 48.948172956078, 'lon': 9.4290739431178}",0,info@sanitaetshaus-maier.de,sanitaetshaus-maier.de,[],+49 7062 95110,"Im Biegel 7, 71522 Backnang",Sanitätshaus mit Leistungen in der Orthopädietechnik und Prothesenversorgung,"Sanitätshaus Maier GmbH bietet eine Vielzahl von Leistungen im Bereich der Gesundheitsversorgung an. Die wichtigsten Merkmale des Unternehmens sind die Kompetenz und Erfahrung seiner Mitarbeiter sowie umfangreiche Leistungsspektrum, von Kompressionstherapie bis hin zu modernster Beinprothetik reicht. Der Hauptzweck der Geschäftstätigkeit von Sanitätshaus Maier GmbH besteht darin, Menschen mit Gesundheitsproblemen zu unterstützen und ihnen individuelle Lösungen anzubieten.","Michael Maier, Eberhard Maier",HRB 271392 Amtsgericht Stuttgart,,,https://www.companyhouse.de/Sanitaetshaus-Maier-GmbH-Backnang
14368,330331716,Sanitätshaus Maik Bauer,"{'street': 'Celler Str. 1', 'streetAddition': '', 'zip': '29574', 'city': 'Ebstorf', 'phone': '', 'title': '', 'active': False}","{'lat': 53.028412963969, 'lon': 10.412313977904}",0,,,[],,,,,,,,,
12355,330640550,Sanitätshaus Maisch Orthopädietechnik GmbH,"{'street': 'Viernheimer Str. 2 a', 'streetAddition': '', 'zip': '64646', 'city': 'Heppenheim', 'phone': '', 'title': '', 'active': False}","{'lat': 49.628150993483, 'lon': 8.624139970087}",0,,,[],,"Viernheimerstr. 2A, 64646 Heppenheim",Bekleidung & Mode,"Herstellung und/oder Vertrieb von Orthesen und Prothesen aller Art, Einlagen, Miedern und Bandagen, Gummistrümpfen, Krankenfahrstühlen sowie weiterer Gegenstände ähnlicher Art.","Michael Maisch, Marcus Maisch, Thomas Lammer",HRB 24281 Amtsgericht Darmstadt,,,https://www.companyhouse.de/Sanitaetshaus-Maisch-Orthopaedietechnik-GmbH-Heppenheim
8783,330643438,Sanitätshaus Maisch   Orthopädie-Technik GmbH,"{'street': 'Ernst-Schneider-Str. 4', 'streetAddition': '', 'zip': '64646', 'city': 'Heppenheim', 'phone': '', 'title': '', 'active': False}","{'lat': 49.642265992638, 'lon': 8.6384409697471}",0,info@maisch-orthopaedie.de,,[],,,,,,,,,
8731,330601871,Sanitätshaus Maisch Orthopädietechnik GmbH  Sanitätshaus,"{'street': 'Zeil 57', 'streetAddition': '', 'zip': '60313', 'city': 'Frankfurt', 'phone': '', 'title': '', 'active': False}","{'lat': 50.114045969028, 'lon': 8.6864119940659}",0,,,[],,"Viernheimerstr. 2A, 64646 Heppenheim",Bekleidung & Mode,"Herstellung und/oder Vertrieb von Orthesen und Prothesen aller Art, Einlagen, Miedern und Bandagen, Gummistrümpfen, Krankenfahrstühlen sowie weiterer Gegenstände ähnlicher Art.","Michael Maisch, Marcus Maisch, Thomas Lammer",HRB 24281 Amtsgericht Darmstadt,,,https://www.companyhouse.de/Sanitaetshaus-Maisch-Orthopaedietechnik-GmbH-Heppenheim
12595,330931437,Sanitätshaus Marchl GmbH,"{'street': 'Bahnhofstr. 1', 'streetAddition': '', 'zip': '93413', 'city': 'Cham', 'phone': '', 'title': '', 'active': False}","{'lat': 49.222499974674, 'lon': 12.658739992055}",0,,,[],+49 9971 994790,"Bahnhofstraße 1, 93413 Cham",Herstellung von sonstigen Waren,"Vertrieb, Herstellung und Reparatur von Sanitätsartikeln und von Produkten der Orthopädietechnik und Orthopädieschuhtechnik, sowie Herstellung und Vertrieb von Wellnessprodukten.",Daniel Marchl,Gesellschaft mit beschränkter Haftung,,,https://www.companyhouse.de/Sanitaetshaus-Marchl-GmbH-Cham
13520,330922072,Sanitätshaus Mark GmbH Florian Mark  Sanitätshaus,"{'street': 'Unterer Markt 8', 'streetAddition': '', 'zip': '94513', 'city': 'Schönberg', 'phone': '', 'title': '', 'active': False}","{'lat': 48.838623222772, 'lon': 13.340310572906}",0,,,[],,,,,,,,,
241,331300061,Sanitätshaus Marlow GmbH & Co. KG  Orthopädie- und Rehatechnik,"{'street': 'Lange Str. 59', 'streetAddition': '', 'zip': '19230', 'city': 'Hagenow', 'phone': '', 'title': '', 'active': False}","{'lat': 53.434592993743, 'lon': 11.188498987234}",0,,,[],,,,,,,,,
8932,330641700,Sanitätshaus Marx GmbH,"{'street': 'Moselstr. 2 a', 'streetAddition': '', 'zip': '63452', 'city': 'Hanau', 'phone': '', 'title': '', 'active': False}","{'lat': 50.151416944573, 'lon': 8.9389529444391}",0,info@sanitaetshaus-marx.de,sanitaetshaus-marx.de,[],+49 6181 92460,"Moselstr. 2A, 63452 Hanau",Sanitätshaus,"Sanitätshaus Marx GmbH ist ein Unternehmen, sich auf die Vermarktung von Hilfsmitteln für Menschen mit Behinderungen oder chronischen Krankheiten spezialisiert hat. Die wichtigsten Merkmale des Unternehmens sind die breite Palette an Produkten und Dienstleistungen, es bietet, darunter Kompression, Orthopädie-Technik, Reha-Technik und Scooter. Der Zweck der Geschäftstätigkeit von Sanitätshaus Marx GmbH ist es, Menschen mit Behinderungen oder chronischen Krankheiten zu unterstützen und zu helfen, ihre Alltagstätigkeiten so selbstständig wie möglich auszuführen.","Gerhard Marx, Hanau Kompa",Gesellschaft mit beschränkter Haftung,2021.0,31868.68,https://www.companyhouse.de/Sanitaetshaus-Marx-GmbH-Hanau
11427,331430809,Sanitätshaus Matthies Frank Matthies,"{'street': 'Wurzner Str. 163', 'streetAddition': '', 'zip': '04318', 'city': 'Leipzig', 'phone': '', 'title': '', 'active': False}","{'lat': 51.344077957913, 'lon': 12.428559995566}",0,,,[],,,,,,,,,
8830,330932860,Sanitätshaus Maxhütte Kerstin Muhl  Sanitätshaus/Rehatechnik,"{'street': 'Hermann-Ehlers-Str. 1', 'streetAddition': '', 'zip': '93142', 'city': 'Maxhütte-Haidhof', 'phone': '', 'title': '', 'active': False}","{'lat': 49.199672952075, 'lon': 12.094394974374}",0,,,[],,,,,,,,,
13512,330919000,Sanitätshaus Mayer Maria del Carmen Menzebach,"{'street': 'Prinzregentenstr. 6 - 8', 'streetAddition': '', 'zip': '83022', 'city': 'Rosenheim', 'phone': '', 'title': '', 'active': False}","{'lat': 47.855658995209, 'lon': 12.12525192472}",0,,,[],,,,,,,,,
13914,330645123,Sanitätshaus May GmbH,"{'street': 'Steinweg 3', 'streetAddition': '', 'zip': '63500', 'city': 'Seligenstadt', 'phone': '', 'title': '', 'active': False}","{'lat': 50.044428945867, 'lon': 8.9719129406972}",0,info@sanitaetshaus-may.de,,[],+49 6074 50732,"Ober-Rodener-Str. 11C, 63322 Rödermark",Herstellung von sonstigen Waren,"Betrieb von sowie Beteiligung an Unternehmen, die handwerkliche Herstellung und den Vertrieb von Sanitäts- und Orthopädieprodukten und von damit in Zusammenhang stehenden Fremdwaren zum Gegenstand haben.",Bernhard May,Gesellschaft mit beschränkter Haftung,,,https://www.companyhouse.de/Sanitaetshaus-May-GmbH-Roedermark
13859,330646921,Sanitätshaus Medicum,"{'street': 'Langenbeckplatz 2', 'streetAddition': '', 'zip': '65189', 'city': 'Wiesbaden', 'phone': '', 'title': '', 'active': False}","{'lat': 50.075431957536, 'lon': 8.2543489325368}",0,,,[],,"Am Dorfanger 19, 65191 Wiesbaden",Pharmazie,Führung eines Sanitätshandels,Martin Hofmann,HRA 8956 Amtsgericht Wiesbaden,,,https://www.companyhouse.de/medicum-Sanitaetshaus-Martin-Hofmann-eK-Wiesbaden
13491,330662487,Sanitätshaus Medicus GmbH & Co. KG,"{'street': 'Untergasse 23', 'streetAddition': '', 'zip': '34281', 'city': 'Gudensberg', 'phone': '', 'title': '', 'active': False}","{'lat': 51.177691980814, 'lon': 9.3687839619818}",0,info@medicus-ks.de,sanitaetshausmedicus.de,[],,"Hannoverschestr. 34, 34266 Niestetal",Großhandel,"Handel mit Sanitätsbedarf, Krankenbetten, Rollstühlen pp.; Sandershäuser Straße.",Christian Sittig,Gesellschaft mit beschränkter Haftung & Co. Kommanditgesellschaft,,,https://www.companyhouse.de/Sanitaetshaus-Medicus-GmbH-Co-KG-Niestetal
8924,330660919,Sanitätshaus Medicus GmbH & Co. KG  Filiale Hofgeismar,"{'street': 'Töpfermarkt 2', 'streetAddition': '', 'zip': '34369', 'city': 'Hofgeismar', 'phone': '', 'title': '', 'active': False}","{'lat': 51.494116946312, 'lon': 9.3808679195207}",0,c.sittig@medicus-ks.de,,[],,,,,,,,,
10104,330400505,Sanitätshaus Medisan,"{'street': 'Burger Heerstr. 40', 'streetAddition': '', 'zip': '28719', 'city': 'Bremen', 'phone': '', 'title': '', 'active': False}","{'lat': 53.155769988684, 'lon': 8.7043039192428}",0,info@medisan-ot.de,medisan-ot.de,[],+49 421 2476710,"Sonnebergerstr. 14, 28329 Bremen",Herstellung von sonstigen Waren,Sanitätshaus,"Dennis Schindeler, Richard Julius Klaus Anthes",Gesellschaft mit beschränkter Haftung,,,https://www.companyhouse.de/Sanitaetshaus-Medisan-GmbH-Bremen
9340,331403292,Sanitätshaus Meißen GmbH das Original  Orthopädietechnik,"{'street': 'Neugasse 55', 'streetAddition': '', 'zip': '01662', 'city': 'Meißen', 'phone': '', 'title': '', 'active': False}","{'lat': 51.161703960172, 'lon': 13.471701939285}",0,,,[],,,,,,,,,
11709,330513670,Sanitätshaus Mertens&Strahl GmbH & Co. KG,"{'street': 'Frintroper Str. 430', 'streetAddition': '', 'zip': '45359', 'city': 'Essen', 'phone': '', 'title': '', 'active': False}","{'lat': 51.475111950999, 'lon': 6.9135989979439}",0,service@mertensundstrahl.de,mertensundstrahl.de,[],+49 69 58055,"Frintroperstr. 430, 45359 Essen",Sanitäts- und Rehabilitationsartikel,"Sanitätshaus Mertens & Strahl GmbH & Co. KG ist ein Anbieter von Gesundheitsprodukten und -dienstleistungen, sich durch eine sorgfältig recherchierte Produktpalette und eine benutzerfreundliche Website auszeichnet. Das Unternehmen hat zum Ziel, Gesundheit und Wohlbefinden seiner Kunden zu fördern.","Henning Strahl, Stefan Mertens",HRA 8685 Amtsgericht Essen,2006.0,86197.88,https://www.companyhouse.de/Sanitaetshaus-Mertens-Strahl-GmbH-Co-KG-Essen
11906,330320063,Sanitätshaus Meyer GmbH,"{'street': 'Deisterallee 14', 'streetAddition': '', 'zip': '31785', 'city': 'Hameln', 'phone': '', 'title': '', 'active': False}","{'lat': 52.103906990168, 'lon': 9.363524954814}",0,,,[],,"Sand 35, 21073 Hamburg","Beratung, Herstellung und Reparatur von Hilfsmitteln und orthopädischen Erzeugnissen","Sanitätshaus Meyer GmbH ist ein Unternehmen, sich auf Beratung, Herstellung und Reparatur von Hilfsmitteln und orthopädischen Erzeugnissen spezialisiert hat. Es ist bekannt für sein kompetentes Team, aus speziell ausgebildeten und staatlich anerkannten Medizin-Produktberatern besteht. Ihr Ziel ist es, Lebensqualität der Kunden zu verbessern, indem sie innovative Hilfsmittel bereitstellen.",Manfred Reinecke,HRB 105784 Amtsgericht Hamburg,,,https://www.companyhouse.de/Sanitaetshaus-Meyer-GmbH-Hamburg
17412,331602306,Sanitätshaus Meyer GmbH   Orthopädie- und Rehatechnik,"{'street': 'Mühlstr. 4 b', 'streetAddition': '', 'zip': '99610', 'city': 'Sömmerda', 'phone': '', 'title': '', 'active': False}","{'lat': 51.160752273757, 'lon': 11.117424102292}",0,,,[],,,,,,,,,
9398,330601928,Sanitätshaus Mielke Carsten Mielke e.K.,"{'street': 'Landgrafenstr. 7', 'streetAddition': '', 'zip': '37235', 'city': 'Hessisch Lichtenau', 'phone': '', 'title': '', 'active': False}","{'lat': 51.198086993088, 'lon': 9.7218939135265}",0,,,[],,"Ermschwerderstr. 23, 37213 Witzenhausen",,,,,,,https://www.companyhouse.de/Sanitaetshaus-Mielke-Inh-Carsten-Mielke-eK-Witzenhausen
9407,330601483,Sanitätshaus Mielke Carsten Mielke e.K.  Orthopädie- und Rehatechnik,"{'street': 'Leipziger Str. 277', 'streetAddition': '', 'zip': '34260', 'city': 'Kaufungen', 'phone': '', 'title': '', 'active': False}","{'lat': 51.284752989392, 'lon': 9.6071119475928}",0,,,[],,,,,,,,,
10207,330324114,Sanitätshaus Misburg GmbH & Co. KG,"{'street': 'Waldstr. 10', 'streetAddition': '', 'zip': '30629', 'city': 'Hannover', 'phone': '', 'title': '', 'active': False}","{'lat': 52.391815992493, 'lon': 9.8549199442286}",0,info@sh-misburg.de,sh-misburg.de,[],+49 511 5441692,"Waldstr. 10, 30629 Hannover",Sanitätsprodukte und Dienstleistungen,"Sanitätshaus Misburg GmbH & Co. KG ist ein Anbieter von medizinischen Hilfsmitteln, wie Gehstöcken, Rollstühlen und Inkontinenzartikeln. Das Unternehmen zeichnet sich durch die Herstellung individueller Prothesen, Orthesen und sensomotorischer Einlagen aus, wobei es von Fachpersonal wie Orthopädietechnikermeistern und Sportwissenschaftlern unterstützt wird.",Benjamin Böer,HRA 204423 Amtsgericht Hannover,,,https://www.companyhouse.de/Sanitaetshaus-Misburg-GmbH-Co-KG-Hannover
10120,330324808,"Sanitätshaus Misburg GmbH & Co. KG Filiale Sanitätshaus ""Südstadt""","{'street': 'Hildesheimer Str. 102 - 104', 'streetAddition': '', 'zip': '30173', 'city': 'Hannover', 'phone': '', 'title': '', 'active': False}","{'lat': 52.357995992116, 'lon': 9.7518899185047}",0,,,[],,,,,,,,,
9174,331105532,Sanitätshaus MKC GmbH,"{'street': 'Potsdamer Str. 89', 'streetAddition': '', 'zip': '10785', 'city': 'Berlin', 'phone': '', 'title': '', 'active': False}","{'lat': 52.501693953364, 'lon': 13.364822991895}",0,,,[],+49 30 20671723,"Friedrichstraße 94, 10117 Berlin",Großhandel,Sanitätshaus,,HRB 100653 Amtsgericht Berlin (Charlottenburg),,,https://www.companyhouse.de/Sanitaetshaus-MKC-GmbH-Mitte-Kompetenz-Center-Berlin
13905,331104655,Sanitätshaus MKC GmbH Mitte Kompetenz Center,"{'street': 'Marzahner Promenade 1a', 'streetAddition': '', 'zip': '12679', 'city': 'Berlin', 'phone': '', 'title': '', 'active': False}","{'lat': 52.542701981033, 'lon': 13.542497987164}",0,,,[],+49 30 20671723,"Friedrichstraße 94, 10117 Berlin",Großhandel,Sanitätshaus,,HRB 100653 Amtsgericht Berlin (Charlottenburg),,,https://www.companyhouse.de/Sanitaetshaus-MKC-GmbH-Mitte-Kompetenz-Center-Berlin
11889,330330021,Sanitätshaus Möhrmann Inh. Dirk Möhrmann e.K.  Orthopädiemechanikermeister,"{'street': 'Marktstr. 21', 'streetAddition': '', 'zip': '29614', 'city': 'Soltau', 'phone': '', 'title': '', 'active': False}","{'lat': 52.984988977236, 'lon': 9.8402249434848}",0,,,[],,,,,,,,,
8623,331105838,Sanitätshaus Morscheck,"{'street': 'Fennstr. 3', 'streetAddition': '', 'zip': '13347', 'city': 'Berlin', 'phone': '', 'title': '', 'active': False}","{'lat': 52.541552982759, 'lon': 13.368924968977}",0,,,[],,,,,,,,,
